,,
,,
1330,Advanced Modeling and Observer based LQR Control of Paralleled Dual Active Bridge Converter for EV Charger,"Dunna, Vijaya*; De, Dipankar; Sahu, Silpashree; Baghasingh, Baibhab; Patra, Ajit Kumar; Goel, Vinay; Narayanan, Ramasamy ; Davis, Thomas "
1510,An Optimal Regulation of Oxygen Excess Ratio in  PEM Fuel Cell Using Event-Triggered Sliding  Mode Control Under Varying Stack Current,"Yete , Yash ; Singh, Jay *"
1620,Energy Analysis of AUV Ascent: Comparing PD and Sliding Mode Control across Pitch Angles,"Nande, Shaounak*"
,,
,,
,,
,,
CRC 5-4,ORAL PRESENTATION #6,"July 11, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
50,"Dynamic Precise, Fast, and Accurate Phasor Estimation Technique","KUMAR, RAVINDRA*; Tripathy, Manoj"
148,Online Measurement of Component Failure Rates of Integrated Circuits used in Safety Critical Systems of Nuclear Power Plant,"Singh, Dr.Pooja*; Singh, Lalit"
